dataset,model,accuracy,precision,recall,f1_score,auc
analcatdata_aids,SAINT,0.7,0.75,0.6,0.6666666666666666,0.8
analcatdata_asbestos,SAINT,0.7058823529411765,0.6363636363636364,0.875,0.7368421052631579,0.7222222222222222
analcatdata_bankruptcy,SAINT,0.9,1.0,0.8,0.8888888888888888,1.0
analcatdata_creditscore,SAINT,0.95,1.0,0.9333333333333333,0.9655172413793104,1.0
analcatdata_cyyoung8092,SAINT,0.75,0.5,0.6,0.5454545454545454,0.7733333333333334
analcatdata_cyyoung9302,SAINT,0.9473684210526315,1.0,0.75,0.8571428571428571,1.0
analcatdata_fraud,SAINT,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9444444444444444
analcatdata_japansolvent,SAINT,0.5454545454545454,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.33333333333333326
labor,SAINT,0.9166666666666666,1.0,0.875,0.9333333333333333,1.0
lupus,SAINT,0.6666666666666666,0.5555555555555556,0.7142857142857143,0.625,0.7272727272727272
parity5,SAINT,0.42857142857142855,0.5,0.75,0.6,0.08333333333333334
postoperative_patient_data,SAINT,0.2777777777777778,0.25,0.8,0.38095238095238093,0.36923076923076925
analcatdata_boxing1,SAINT,0.625,0.6521739130434783,0.9375,0.7692307692307693,0.5625
analcatdata_boxing2,SAINT,0.5185185185185185,0.5384615384615384,0.9333333333333333,0.6829268292682927,0.5222222222222223
appendicitis,SAINT,0.9090909090909091,1.0,0.5,0.6666666666666666,0.8472222222222222
backache,SAINT,0.3333333333333333,0.14814814814814814,0.8,0.25,0.45161290322580644
corral,SAINT,0.78125,1.0,0.5,0.6666666666666666,1.0
glass2,SAINT,0.45454545454545453,0.45161290322580644,0.9333333333333333,0.6086956521739131,0.337037037037037
hepatitis,SAINT,0.8064516129032258,0.8275862068965517,0.96,0.8888888888888888,0.8066666666666666
molecular_biology_promoters,SAINT,0.7272727272727273,0.6923076923076923,0.8181818181818182,0.75,0.8099173553719008
mux6,SAINT,0.9615384615384616,1.0,0.9230769230769231,0.96,1.0
prnn_crabs,SAINT,0.975,1.0,0.95,0.9743589743589743,1.0
analcatdata_lawsuit,SAINT,0.9056603773584906,0.0,0.0,0.0,0.5663265306122449
biomed,SAINT,0.6666666666666666,0.6666666666666666,0.9629629629629629,0.7878787878787878,0.5185185185185185
breast_cancer,SAINT,0.4482758620689655,0.3333333333333333,0.8823529411764706,0.4838709677419355,0.6520803443328551
prnn_synth,SAINT,0.8,0.7586206896551724,0.88,0.8148148148148148,0.9039999999999999
sonar,SAINT,0.7857142857142857,0.72,0.9,0.8,0.8749999999999999
spect,SAINT,0.7777777777777778,0.7924528301886793,0.9767441860465116,0.875,0.6014799154334038
bupa,SAINT,0.5072463768115942,0.5074626865671642,0.9714285714285714,0.6666666666666666,0.5487394957983193
haberman,SAINT,0.27419354838709675,0.2542372881355932,0.9375,0.4,0.5964673913043478
ionosphere,SAINT,0.9577464788732394,0.9574468085106383,0.9782608695652174,0.967741935483871,0.9617391304347827
spectf,SAINT,0.7142857142857143,0.7246376811594203,0.9803921568627451,0.8333333333333334,0.8194014447884417
clean1,SAINT,0.96875,1.0,0.9285714285714286,0.9629629629629629,0.9753086419753086
irish,SAINT,0.54,0.48863636363636365,0.9772727272727273,0.6515151515151515,0.619724025974026
saheart,SAINT,0.7204301075268817,0.5652173913043478,0.8125,0.6666666666666666,0.8058401639344261
