dataset,model,accuracy,precision,recall,f1_score,auc
analcatdata_aids,TabTransformer,0.8,0.8,0.8,0.8,0.9600000000000001
analcatdata_asbestos,TabTransformer,0.8235294117647058,0.8571428571428571,0.75,0.8,0.8611111111111112
analcatdata_bankruptcy,TabTransformer,0.9,1.0,0.8,0.8888888888888888,1.0
analcatdata_creditscore,TabTransformer,0.95,1.0,0.9333333333333333,0.9655172413793104,1.0
analcatdata_cyyoung8092,TabTransformer,0.2,0.21052631578947367,0.8,0.3333333333333333,0.07999999999999999
analcatdata_cyyoung9302,TabTransformer,0.8947368421052632,1.0,0.5,0.6666666666666666,0.9333333333333333
analcatdata_fraud,TabTransformer,0.5555555555555556,0.4,0.6666666666666666,0.5,0.5555555555555556
analcatdata_japansolvent,TabTransformer,0.8181818181818182,1.0,0.6666666666666666,0.8,0.9
labor,TabTransformer,0.75,0.7777777777777778,0.875,0.8235294117647058,0.65625
lupus,TabTransformer,0.7222222222222222,0.75,0.42857142857142855,0.5454545454545454,0.7012987012987013
parity5,TabTransformer,0.42857142857142855,0.5,0.75,0.6,0.33333333333333337
postoperative_patient_data,TabTransformer,0.2777777777777778,0.25,0.8,0.38095238095238093,0.3692307692307692
analcatdata_boxing1,TabTransformer,0.7083333333333334,0.7142857142857143,0.9375,0.8108108108108109,0.5625
analcatdata_boxing2,TabTransformer,0.5925925925925926,0.5833333333333334,0.9333333333333333,0.717948717948718,0.6888888888888889
appendicitis,TabTransformer,0.9090909090909091,1.0,0.5,0.6666666666666666,0.9444444444444444
backache,TabTransformer,0.1388888888888889,0.11764705882352941,0.8,0.20512820512820512,0.4258064516129032
corral,TabTransformer,0.5625,1.0,0.0,0.0,1.0
glass2,TabTransformer,0.48484848484848486,0.4666666666666667,0.9333333333333333,0.6222222222222222,0.5148148148148148
hepatitis,TabTransformer,0.7741935483870968,0.8,0.96,0.8727272727272727,0.6266666666666667
molecular_biology_promoters,TabTransformer,0.7272727272727273,0.6923076923076923,0.8181818181818182,0.75,0.8512396694214877
mux6,TabTransformer,0.9230769230769231,1.0,0.8461538461538461,0.9166666666666666,1.0
prnn_crabs,TabTransformer,0.95,0.95,0.95,0.95,0.9974999999999999
analcatdata_lawsuit,TabTransformer,0.9433962264150944,0.6666666666666666,0.5,0.5714285714285714,0.9387755102040816
biomed,TabTransformer,0.7380952380952381,0.75,0.8888888888888888,0.8135593220338984,0.8049382716049382
breast_cancer,TabTransformer,0.3103448275862069,0.2909090909090909,0.9411764705882353,0.4444444444444444,0.5968436154949786
prnn_synth,TabTransformer,0.84,0.7741935483870968,0.96,0.8571428571428571,0.9328000000000001
sonar,TabTransformer,0.8571428571428571,0.8888888888888888,0.8,0.8421052631578947,0.9249999999999999
spect,TabTransformer,0.8333333333333334,0.8695652173913043,0.9302325581395349,0.898876404494382,0.8319238900634249
bupa,TabTransformer,0.4927536231884058,0.5,0.9714285714285714,0.6601941747572816,0.4605042016806723
haberman,TabTransformer,0.46774193548387094,0.3111111111111111,0.875,0.45901639344262296,0.6453804347826086
ionosphere,TabTransformer,0.9436619718309859,0.9375,0.9782608695652174,0.9574468085106383,0.9504347826086956
spectf,TabTransformer,0.7285714285714285,0.7424242424242424,0.9607843137254902,0.8376068376068376,0.7368421052631579
clean1,TabTransformer,0.9479166666666666,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.972663139329806
irish,TabTransformer,0.57,0.5058823529411764,0.9772727272727273,0.6666666666666666,0.6704545454545455
saheart,TabTransformer,0.6021505376344086,0.4576271186440678,0.84375,0.5934065934065934,0.704405737704918
