dataset,model,accuracy,precision,recall,f1_score,auc
analcatdata_aids,xgboost,0.6,0.6666666666666666,0.4,0.5,0.62
analcatdata_aids,lightgbm,0.5,0.0,0.0,0.0,0.5
analcatdata_asbestos,xgboost,0.7647058823529411,0.8333333333333334,0.625,0.7142857142857143,0.7708333333333333
analcatdata_asbestos,lightgbm,0.7058823529411765,0.6666666666666666,0.75,0.7058823529411765,0.798611111111111
analcatdata_bankruptcy,xgboost,0.9,0.8333333333333334,1.0,0.9090909090909091,0.9600000000000001
analcatdata_bankruptcy,lightgbm,0.2,0.2,0.2,0.2,0.19999999999999998
analcatdata_creditscore,xgboost,1.0,1.0,1.0,1.0,1.0
analcatdata_creditscore,lightgbm,1.0,1.0,1.0,1.0,1.0
analcatdata_cyyoung8092,xgboost,0.75,0.5,0.4,0.4444444444444444,0.5333333333333332
analcatdata_cyyoung8092,lightgbm,0.8,0.6,0.6,0.6,0.64
analcatdata_cyyoung9302,xgboost,0.7894736842105263,0.5,0.25,0.3333333333333333,0.7666666666666667
analcatdata_cyyoung9302,lightgbm,0.7894736842105263,0.5,0.25,0.3333333333333333,0.7833333333333333
analcatdata_fraud,xgboost,0.6666666666666666,0.0,0.0,0.0,0.9166666666666667
analcatdata_fraud,lightgbm,0.6666666666666666,0.0,0.0,0.0,0.5
analcatdata_japansolvent,xgboost,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8
analcatdata_japansolvent,lightgbm,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6333333333333333
labor,xgboost,0.9166666666666666,1.0,0.875,0.9333333333333333,0.9375
labor,lightgbm,0.6666666666666666,0.6666666666666666,1.0,0.8,0.6875
lupus,xgboost,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7012987012987013
lupus,lightgbm,0.7222222222222222,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7272727272727273
parity5,xgboost,0.14285714285714285,0.2,0.3333333333333333,0.25,0.041666666666666664
parity5,lightgbm,0.42857142857142855,0.42857142857142855,1.0,0.6,0.5
postoperative_patient_data,xgboost,0.7222222222222222,0.0,0.0,0.0,0.34615384615384615
postoperative_patient_data,lightgbm,0.7222222222222222,0.0,0.0,0.0,0.46153846153846156
analcatdata_boxing1,xgboost,0.875,0.9333333333333333,0.875,0.9032258064516129,0.9453125
