accuracy,precision,recall,f1_score,auc,dataset
0.8,1.0,0.5,0.6666666666666666,0.6458333333333333,analcatdata_aids
0.5882352941176471,0.3333333333333333,0.4,0.36363636363636365,0.6583333333333333,analcatdata_asbestos
0.8,1.0,0.5,0.6666666666666666,0.9166666666666667,analcatdata_bankruptcy
0.55,0.55,1.0,0.7096774193548387,0.9545454545454546,analcatdata_creditscore
0.75,0.8,0.5,0.6153846153846154,0.8645833333333334,analcatdata_cyyoung8092
0.8421052631578947,0.3333333333333333,0.5,0.4,0.7352941176470589,analcatdata_cyyoung9302
0.4444444444444444,0.0,0.0,0.0,0.75,analcatdata_fraud
0.8181818181818182,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8214285714285714,analcatdata_japansolvent
0.8333333333333334,0.7777777777777778,1.0,0.875,0.9714285714285715,labor
0.9444444444444444,1.0,0.8571428571428571,0.9230769230769231,0.9675324675324675,lupus
0.14285714285714285,0.2,0.3333333333333333,0.25,0.0,parity5
0.7222222222222222,0.0,0.0,0.0,0.5615384615384615,postoperative_patient_data
0.7916666666666666,0.6875,1.0,0.8148148148148148,0.9020979020979022,analcatdata_boxing1
0.8888888888888888,0.875,0.9333333333333333,0.9032258064516129,0.8888888888888888,analcatdata_boxing2
0.9090909090909091,0.5,0.5,0.5,0.7375,appendicitis
0.9166666666666666,1.0,0.25,0.4,0.9453125,backache
1.0,1.0,1.0,1.0,1.0,corral
0.8787878787878788,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9398496240601504,glass2
0.8064516129032258,0.9130434782608695,0.84,0.875,0.7866666666666666,hepatitis
0.7727272727272727,0.7,0.7777777777777778,0.7368421052631579,0.8803418803418803,molecular_biology_promoters
1.0,1.0,1.0,1.0,1.0,mux6
0.95,1.0,0.8888888888888888,0.9411764705882353,0.9595959595959596,prnn_crabs
1.0,1.0,1.0,1.0,1.0,analcatdata_lawsuit
0.8571428571428571,0.88,0.88,0.88,0.9505882352941175,biomed
0.7586206896551724,0.0,0.0,0.0,0.7305194805194805,breast_cancer
0.7796610169491526,0.8333333333333334,0.7575757575757576,0.7936507936507936,0.8613053613053613,heart_h
0.8148148148148148,0.8260869565217391,0.76,0.7916666666666666,0.9186206896551725,heart_statlog
0.8305084745762712,0.7142857142857143,0.7894736842105263,0.75,0.8993421052631578,hungarian
0.86,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.9194847020933978,prnn_synth
0.8333333333333334,0.8181818181818182,0.8571428571428571,0.8372093023255814,0.9387755102040816,sonar
0.8703703703703703,0.8571428571428571,1.0,0.9230769230769231,0.876984126984127,spect
0.4492753623188406,0.3142857142857143,0.44,0.36666666666666664,0.5168181818181818,bupa
0.8852459016393442,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.9416666666666667,cleve
0.7972972972972973,0.8076923076923077,0.8936170212765957,0.8484848484848485,0.8337273443656422,colic
0.7419354838709677,0.0,0.0,0.0,0.5944293478260869,haberman
0.819672131147541,0.8285714285714286,0.8529411764705882,0.8405797101449275,0.872549019607843,heart_c
0.7702702702702703,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.822301024428684,horse_colic
0.9436619718309859,0.9375,0.9782608695652174,0.9574468085106383,0.9678260869565217,ionosphere
0.8714285714285714,0.9,0.9183673469387755,0.9090909090909091,0.9387755102040817,spectf
1.0,1.0,1.0,1.0,1.0,clean1
0.9655172413793104,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9820261437908496,house_votes_84
1.0,1.0,1.0,1.0,1.0,irish
0.7096774193548387,0.5625,0.3103448275862069,0.4,0.7106681034482758,saheart
0.9540229885057471,0.9142857142857143,0.9696969696969697,0.9411764705882353,0.9955106621773289,vote
