dataset,model,accuracy,precision,recall,f1_score,auc
analcatdata_aids,xgboost,0.6,0.6666666666666666,0.4,0.5,0.6800000000000002
analcatdata_asbestos,xgboost,0.7647058823529411,0.8333333333333334,0.625,0.7142857142857143,0.826388888888889
analcatdata_bankruptcy,xgboost,0.9,0.8333333333333334,1.0,0.9090909090909091,0.8800000000000001
analcatdata_creditscore,xgboost,1.0,1.0,1.0,1.0,1.0
analcatdata_cyyoung8092,xgboost,0.75,0.5,0.4,0.4444444444444444,0.5866666666666667
analcatdata_cyyoung9302,xgboost,0.8421052631578947,1.0,0.25,0.4,0.7833333333333333
analcatdata_fraud,xgboost,0.5555555555555556,0.0,0.0,0.0,0.8333333333333334
analcatdata_japansolvent,xgboost,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7666666666666667
labor,xgboost,0.8333333333333334,0.875,0.875,0.875,0.9375
lupus,xgboost,0.7222222222222222,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7272727272727273
parity5,xgboost,0.42857142857142855,0.42857142857142855,1.0,0.6,0.5
postoperative_patient_data,xgboost,0.7222222222222222,0.0,0.0,0.0,0.4307692307692308
analcatdata_boxing1,xgboost,0.875,0.8421052631578947,1.0,0.9142857142857143,0.984375
analcatdata_boxing2,xgboost,0.8148148148148148,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.8666666666666667
appendicitis,xgboost,0.9090909090909091,1.0,0.5,0.6666666666666666,0.8333333333333334
backache,xgboost,0.8333333333333334,0.0,0.0,0.0,0.6322580645161291
corral,xgboost,1.0,1.0,1.0,1.0,1.0
glass2,xgboost,0.8181818181818182,0.8,0.8,0.8,0.9370370370370371
hepatitis,xgboost,0.8064516129032258,0.8064516129032258,1.0,0.8928571428571429,0.84
molecular_biology_promoters,xgboost,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.7,0.9173553719008265
mux6,xgboost,1.0,1.0,1.0,1.0,1.0
prnn_crabs,xgboost,1.0,1.0,1.0,1.0,1.0
analcatdata_lawsuit,xgboost,0.9245283018867925,0.0,0.0,0.0,1.0
biomed,xgboost,0.9047619047619048,0.896551724137931,0.9629629629629629,0.9285714285714286,0.980246913580247
breast_cancer,xgboost,0.7068965517241379,0.5,0.17647058823529413,0.2608695652173913,0.5050215208034432
prnn_synth,xgboost,0.86,0.9090909090909091,0.8,0.851063829787234,0.9328000000000001
sonar,xgboost,0.8571428571428571,0.9375,0.75,0.8333333333333334,0.9454545454545454
spect,xgboost,0.7962962962962963,0.7962962962962963,1.0,0.8865979381443299,0.8054968287526426
bupa,xgboost,0.6376811594202898,0.6136363636363636,0.7714285714285715,0.6835443037974683,0.7159663865546219
haberman,xgboost,0.6935483870967742,0.3333333333333333,0.1875,0.24,0.6970108695652174
ionosphere,xgboost,0.9436619718309859,0.9375,0.9782608695652174,0.9574468085106383,0.9817391304347827
spectf,xgboost,0.8571428571428571,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9102167182662539
clean1,xgboost,1.0,1.0,1.0,1.0,1.0
irish,xgboost,1.0,1.0,1.0,1.0,1.0
saheart,xgboost,0.6989247311827957,0.75,0.1875,0.3,0.7510245901639344
_deprecated_cleve,xgboost,0.819672131147541,0.9047619047619048,0.6785714285714286,0.7755102040816326,0.935064935064935
_deprecated_colic,xgboost,0.8783783783783784,0.8392857142857143,1.0,0.912621359223301,0.8345153664302601
_deprecated_heart_c,xgboost,0.8032786885245902,0.7560975609756098,0.9393939393939394,0.8378378378378378,0.8852813852813852
_deprecated_heart_h,xgboost,0.847457627118644,0.8372093023255814,0.9473684210526315,0.8888888888888888,0.931077694235589
_deprecated_heart_statlog,xgboost,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,0.8875
_deprecated_horse_colic,xgboost,0.7972972972972973,0.8,0.5925925925925926,0.6808510638297872,0.9062253743104807
_deprecated_house_votes_84,xgboost,0.9770114942528736,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9911209766925639
_deprecated_hungarian,xgboost,0.7966101694915254,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.8320802005012532
_deprecated_vote,xgboost,0.9540229885057471,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9900110987791343
